metodo,rota,politica_backend,permissao,admin_master,doctor,clinic_staff,observacao
PATCH,/exams/{exam_id},"require_permission(""exams:update"")",exams:update,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
PATCH,/exams/{exam_id}/cancel,"require_permission(""exams:change_status"")",exams:change_status,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
PATCH,/exams/{exam_id}/restore,"require_permission(""exams:change_status"")",exams:change_status,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
POST,/exams/{exam_id}/analyze,"require_permission(""ai_analysis:create"")",ai_analysis:create,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
PATCH,/exams/{exam_id}/review,"require_doctor_permission(""exams:review"")",exams:review,Não,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
GET,/exams/{exam_id}/download,"require_permission(""exams:download"")",exams:download,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
POST,/exams/{exam_id}/replace-file,"require_permission(""exams:upload"")",exams:upload,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
GET,/ai-analysis/metrics,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
POST,/ai-analysis/,"require_permission(""ai_analysis:create"")",ai_analysis:create,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
GET,/ai-analysis/,"require_permission(""ai_analysis:read"")",ai_analysis:read,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
GET,/ai-analysis/exam/{exam_id},"require_permission(""ai_analysis:read"")",ai_analysis:read,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
GET,/ai-analysis/{ai_analysis_id},"require_permission(""ai_analysis:read"")",ai_analysis:read,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
PATCH,/ai-analysis/{ai_analysis_id},"require_permission(""ai_analysis:update"")",ai_analysis:update,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
